id,profession,image_link,internal_id,name,learned_from,skill_required,action,result,armor_class,item_quality,item_slot
160,Blacksmithing,imgs/Blacksmithing/id11607.png,id11607,Dark Iron Sunderer,recipe,275,Chance On Hit: Reduces targets armor by 300 for 20 seconds. ,1,Two-Hand Axe,Rare,
161,Blacksmithing,imgs/Blacksmithing/id12783.png,id12783,Heartseeker,recipe,300,Passive: Improves your chance to get a critical strike by 1%. ,1,Dagger,Rare,One-Hand
162,Blacksmithing,imgs/Blacksmithing/id12624.png,id12624,Wildthorn Mail,recipe,270,Passive: Increases damage done by Nature spells and effects by up to 34. ,1,Mail,Rare,Chest
163,Blacksmithing,imgs/Blacksmithing/id12628.png,id12628,Demon Forged Breastplate,recipe,285,"Passive: When struck has a 3% chance of stealing 120 life from the attacker over 4 seconds.
 ",1,Plate,Rare,Chest
164,Blacksmithing,imgs/Blacksmithing/id12631.png,id12631,Fiery Plate Gauntlets,recipe,290,Passive: Adds 4 fire damage to your weapon attack. ,1,Plate,Rare,Hands
165,Blacksmithing,imgs/Blacksmithing/id12632.png,id12632,Storm Gauntlets,recipe,295,Passive: Adds 3 Lightning damage to your melee attacks. ,1,Mail,Rare,Hands
166,Blacksmithing,imgs/Blacksmithing/id12633.png,id12633,Whitesoul Helm,recipe,300,Passive: Increases healing done by spells and effects by up to 35. ,1,Plate,Rare,Head
167,Blacksmithing,imgs/Blacksmithing/id12640.png,id12640,Lionheart Helm,recipe,300,Passive: Improves your chance to get a critical strike by 2%. ,1,Plate,Epic,Head
168,Blacksmithing,imgs/Blacksmithing/id12639.png,id12639,Stronghold Gauntlets,recipe,300,Passive: Immune to Disarm. ,1,Plate,Epic,Hands
169,Blacksmithing,imgs/Blacksmithing/id12620.png,id12620,Enchanted Thorium Helm,recipe,300,Passive: Increased Defense +9. ,1,Plate,Rare,Head
170,Blacksmithing,imgs/Blacksmithing/id12619.png,id12619,Enchanted Thorium Leggings,recipe,300,Passive: Increased Defense +8. ,1,Plate,Rare,Legs
171,Blacksmithing,imgs/Blacksmithing/id12618.png,id12618,Enchanted Thorium Breastplate,recipe,300,Passive: Increased Defense +9. ,1,Plate,Rare,Chest
172,Blacksmithing,imgs/Blacksmithing/id12641.png,id12641,Invulnerable Mail,recipe,300,Passive: When struck in combat has a 5% chance to make you invulnerable to melee damage for 3 seconds. This effect can only occur once every 30 sec. ,1,Mail,Epic,Chest
173,Blacksmithing,imgs/Blacksmithing/id12777.png,id12777,Blazing Rapier,recipe,280,Chance On Hit: Burns the enemy for 100 damage over 30 seconds. ,1,Sword,Rare,One-Hand
174,Blacksmithing,imgs/Blacksmithing/id12790.png,id12790,Arcanite Champion,recipe,300,Chance On Hit: Heal self for 270 to 450 and Increases Strength by 120 for 30 seconds. ,1,Two-Hand Sword,Rare,
175,Blacksmithing,imgs/Blacksmithing/id12797.png,id12797,Frostguard,recipe,300,Chance On Hit: Target's movement slowed to 70% and attacks slowed by 20% for 5 seconds. ,1,Sword,Rare,Main Hand
176,Blacksmithing,imgs/Blacksmithing/id12776.png,id12776,Enchanted Battlehammer,recipe,280,Passive: Increases your chance to parry an attack by 1%. ,1,Two-Hand Mace,Rare,
177,Blacksmithing,imgs/Blacksmithing/id12781.png,id12781,Serenity,recipe,285,Chance On Hit: Dispels a magic effect on the current foe. ,1,Mace,Rare,Main Hand
178,Blacksmithing,imgs/Blacksmithing/id12796.png,id12796,Hammer of the Titans,recipe,300,Chance On Hit: Stuns target for 3 seconds. ,1,Two-Hand Mace,Rare,
179,Blacksmithing,imgs/Blacksmithing/id12794.png,id12794,Masterwork Stormhammer,recipe,300,Chance On Hit: Blasts up to 3 targets for 105 to 145 Nature damage. ,1,Mace,Rare,Main Hand
180,Blacksmithing,imgs/Blacksmithing/id12774.png,id12774,Dawn's Edge,recipe,275,Passive: Improves your chance to get a critical strike by 1%. ,1,Axe,Rare,One-Hand
181,Blacksmithing,imgs/Blacksmithing/id12798.png,id12798,Annihilator,recipe,300,Chance On Hit: Reduces an enemy's armor by 200.  Stacks up to 3 times. ,1,Axe,Rare,Main Hand
182,Blacksmithing,imgs/Blacksmithing/id12784.png,id12784,Arcanite Reaper,recipe,300,Passive: +62 Attack Power. ,1,Two-Hand Axe,Rare,
183,Enchanting,imgs/Enchanting/id20744.png,id20744,Minor Wizard Oil,recipe,45,Use: While applied to target weapon it increases spell damage by up to 8.  Lasts for 30 minutes. ,1,Trade Goods,Common,
184,Enchanting,imgs/Enchanting/id20745.png,id20745,Minor Mana Oil,recipe,150,Use: While applied to target weapon it restores 4 mana to the caster every 5 seconds.  Lasts for 30 minutes. ,1,Trade Goods,Common,
185,Enchanting,imgs/Enchanting/id20746.png,id20746,Lesser Wizard Oil,recipe,200,Use: While applied to target weapon it increases spell damage by up to 16.  Lasts for 30 minutes. ,1,Trade Goods,Common,
186,Enchanting,imgs/Enchanting/id20747.png,id20747,Lesser Mana Oil,recipe,250,Use: While applied to target weapon it restores 8 mana to the caster every 5 seconds.  Lasts for 30 minutes. ,1,Trade Goods,Common,
187,Enchanting,imgs/Enchanting/id20750.png,id20750,Wizard Oil,recipe,275,Use: While applied to target weapon it increases spell damage by up to 24.  Lasts for 30 minutes. ,1,Trade Goods,Common,
188,Enchanting,imgs/Enchanting/id20749.png,id20749,Brilliant Wizard Oil,recipe,300,Use: While applied to target weapon it increases spell damage by up to 36 and increases Spell Critical chance by 1% .  Lasts for 30 minutes. ,1,Trade Goods,Common,
189,Enchanting,imgs/Enchanting/id20748.png,id20748,Brilliant Mana Oil,recipe,300,Use: While applied to target weapon it restores 12 mana to the caster every 5 seconds and increases the effect of healing spells by up to 25.  Lasts for 30 minutes. ,1,Trade Goods,Common,
190,Engineering,imgs/Engineering/id4358.png,id4358,Rough Dynamite,trainer,1,Use: Inflicts 26 to 34 Fire damage in a 5 yard radius. ,2,Explosives,Common,
191,Engineering,imgs/Engineering/id4360.png,id4360,Rough Copper Bomb,trainer,30,Use: Inflicts 22 to 28 Fire damage and incapacitates targets in a 3 yard radius for 1 seconds. ,2,Explosives,Common,
192,Engineering,imgs/Engineering/id4405.png,id4405,Crude Scope,trainer,60,Use: Attaches a permanent scope to a bow or gun that increases its damage by 1. ,1,Devices,Common,
193,Engineering,imgs/Engineering/id4401.png,id4401,Mechanical Squirrel,recipe,75,Use: Creates a Mechanical Squirrel that follows you around.  Right Click to summon and dismiss your Squirrel. ,1,Devices,Common,
194,Engineering,imgs/Engineering/id4365.png,id4365,Coarse Dynamite,trainer,75,Use: Inflicts 51 to 69 Fire damage in a 5 yard radius. ,1,Explosives,Common,
195,Engineering,imgs/Engineering/id4366.png,id4366,Target Dummy,trainer,85,Use: Drops a target dummy on the ground that attracts nearby monsters to attack it.  Lasts for 15 seconds or until killed. ,1,Devices,Common,
196,Engineering,imgs/Engineering/id4367.png,id4367,Small Seaforium Charge,recipe,100,Use: Blasts open simple locked doors. ,1,Explosives,Common,
197,Engineering,imgs/Engineering/id6714.png,id6714,EZ-Thro Dynamite,recipe,100,Use: The dynamite for Non-Engineers that nearly always gets to the target!  Inflicts 51 to 69 Fire damage in a 5 yard radius. ,1,Explosives,Common,
198,Engineering,imgs/Engineering/id4370.png,id4370,Large Copper Bomb,trainer,105,Use: Inflicts 43 to 57 Fire damage and incapacitates targets in a 5 yard radius for 1 seconds. ,2,Explosives,Common,
199,Engineering,imgs/Engineering/id4406.png,id4406,Standard Scope,trainer,110,Use: Attaches a permanent scope to a bow or gun that increases its damage by 2. ,1,Devices,Common,
200,Engineering,imgs/Engineering/id4374.png,id4374,Small Bronze Bomb,trainer,120,Use: Inflicts 73 to 97 Fire damage and incapacitates targets in a 3 yard radius for 2 seconds. ,1,Explosives,Common,
201,Engineering,imgs/Engineering/id4376.png,id4376,Flame Deflector,recipe,125,Use: Absorbs 500 fire damage.  Lasts 60 seconds. ,1,Devices,Common,
202,Engineering,imgs/Engineering/id4378.png,id4378,Heavy Dynamite,trainer,125,Use: Inflicts 128 to 172 Fire damage in a 5 yard radius. ,1,Explosives,Common,
203,Engineering,imgs/Engineering/id7506.png,id7506,Gnomish Universal Remote,recipe,125,Use: Allows control of a mechanical target for a short time.  It may not always work and may just root the machine or make it very very angry.  Gnomish engineering at its finest. ,1,Devices,Uncommon,Trinket
204,Engineering,app/static/imgs/Alchemy/id21546.png,id21558,Small Blue Rocket,recipe,125,Use: Throw into a firework launcher! ,3,None,Common,
205,Engineering,app/static/imgs/Alchemy/id21546.png,id21559,Small Green Rocket,recipe,125,Use: Throw into a firework launcher! ,3,None,Common,
206,Engineering,app/static/imgs/Alchemy/id21546.png,id21557,Small Red Rocket,recipe,125,Use: Throw into a firework launcher! ,3,None,Common,
207,Engineering,imgs/Engineering/id7189.png,id7189,Goblin Rocket Boots,recipe,130,"Use: These dangerous looking boots significantly increase your run speed for 20 seconds.  They are prone to explode however, so use with caution. ",1,Cloth,Uncommon,Feet
208,Engineering,imgs/Engineering/id5507.png,id5507,Ornate Spyglass,trainer,135,Use: Allows you to look far into the distance. ,1,Devices,Common,
209,Engineering,imgs/Engineering/id4380.png,id4380,Big Bronze Bomb,trainer,140,Use: Inflicts 85 to 115 Fire damage and incapacitates targets in a 5 yard radius for 2 seconds. ,2,Explosives,Common,
210,Engineering,imgs/Engineering/id4381.png,id4381,Minor Recombobulator,recipe,140,Use: Dispels Polymorph effects on a friendly target.  Also restores 150 to 250 health and mana. ,1,Devices,Uncommon,Trinket
211,Engineering,imgs/Engineering/id4384.png,id4384,Explosive Sheep,trainer,150,Use: Summons an Explosive Sheep which will charge at a nearby enemy and explode for 135 to 165 damage.  Lasts for 3 min or until it explodes. ,1,Explosives,Common,
212,Engineering,imgs/Engineering/id6533.png,id6533,Aquadynamic Fish Attractor,trainer,150,"Use: When applied to your fishing pole, increases Fishing by 100 for 5 minutes. ",3,Devices,Common,
213,Engineering,imgs/Engineering/id9318.png,id9318,Red Firework,recipe,150,Use: Shoots a firework into the air that bursts into a thousand red stars. ,3,None,Common,
214,Engineering,imgs/Engineering/id9313.png,id9313,Green Firework,recipe,150,Use: Shoots a firework into the air that bursts into a thousand green stars. ,3,None,Common,
215,Engineering,imgs/Engineering/id9312.png,id9312,Blue Firework,recipe,150,Use: Shoots a firework into the air that bursts into a thousand blue stars. ,3,None,Common,
216,Engineering,imgs/Engineering/id4386.png,id4386,Ice Deflector,recipe,155,Use: Absorbs 600 frost damage.  Lasts 60 seconds. ,1,Devices,Common,
217,Engineering,imgs/Engineering/id4388.png,id4388,Discombobulator Ray,recipe,160,"Use: Transforms the target into a Leper Gnome, reducing its melee and spell damage by 40 and its movement rate to 80% for 12 seconds. ",1,Devices,Common,
218,Engineering,imgs/Engineering/id4403.png,id4403,Portable Bronze Mortar,recipe,165,Use: Inflicts 85 to 115 Fire damage and incapacitates targets in a 5 yard radius for 2 seconds. ,1,Devices,Common,
219,Engineering,imgs/Engineering/id7148.png,id7148,Goblin Jumper Cables,recipe,165,Use: Jumper Cables will sometimes be able to shock a dead player back to life.  Cannot be used when in combat. ,1,Devices,Common,Trinket
220,Engineering,imgs/Engineering/id4390.png,id4390,Iron Grenade,trainer,175,Use: Inflicts 132 to 218 Fire damage and incapacitates targets for 3 seconds in a 3 yard radius. ,2,Explosives,Common,
221,Engineering,imgs/Engineering/id4391.png,id4391,Compact Harvest Reaper Kit,trainer,175,Use: Creates a Compact Harvest Reaper that will fight for you for 10 min or until it is destroyed. ,1,Devices,Common,
222,Engineering,imgs/Engineering/id10507.png,id10507,Solid Dynamite,trainer,175,Use: Inflicts 213 to 287 Fire damage in a 5 yard radius. ,2,Explosives,Common,
223,Engineering,app/static/imgs/Alchemy/id21546.png,id21589,Large Blue Rocket,recipe,175,Use: Throw into a firework launcher! ,3,None,Common,
224,Engineering,app/static/imgs/Alchemy/id21546.png,id21590,Large Green Rocket,recipe,175,Use: Throw into a firework launcher! ,3,None,Common,
225,Engineering,app/static/imgs/Alchemy/id21546.png,id21592,Large Red Rocket,recipe,175,Use: Throw into a firework launcher! ,3,None,Common,
226,Engineering,imgs/Engineering/id4407.png,id4407,Accurate Scope,recipe,180,Use: Attaches a permanent scope to a bow or gun that increases its damage by 3. ,1,Devices,Common,
227,Engineering,imgs/Engineering/id4392.png,id4392,Advanced Target Dummy,trainer,185,Use: Drops a target dummy on the ground that attracts nearby monsters to attack it. Lasts for 15 seconds or until killed. ,1,Devices,Common,
228,Engineering,imgs/Engineering/id4852.png,id4852,Flash Bomb,recipe,185,Use: Causes all Beasts in a 5 yard radius to run away for 10 seconds. ,1,Explosives,Common,
229,Engineering,imgs/Engineering/id4394.png,id4394,Big Iron Bomb,trainer,190,Use: Inflicts 149 to 201 Fire damage and incapacitates targets in a 5 yard radius for 3 seconds. ,2,Explosives,Common,
230,Engineering,imgs/Engineering/id17716.png,id17716,SnowMaster 9000,recipe,190,Use: Allows an experienced engineer to turn water into a snowball.  The Snowmaster requires a day to build up enough chill to freeze another snowball. ,1,Devices,Common,
231,Engineering,imgs/Engineering/id4395.png,id4395,Goblin Land Mine,recipe,195,Use: Places the Goblin Land Mine on the ground.  It will explode for 394 to 506 fire damage the next time a hostile creature passes near it. ,1,Explosives,Common,
232,Engineering,imgs/Engineering/id4396.png,id4396,Mechanical Dragonling,recipe,200,Use: Activates your Mechanical Dragonling to fight for you for 60 seconds.  It requires an hour to cool down before it can be used again. ,1,Devices,Common,Trinket
233,Engineering,imgs/Engineering/id4397.png,id4397,Gnomish Cloaking Device,recipe,200,Use: Gives invisibility for 10 seconds.  It can only be used every 60 minutes. ,1,Devices,Common,Trinket
234,Engineering,imgs/Engineering/id4398.png,id4398,Large Seaforium Charge,recipe,200,Use: Blasts open difficult locked doors. ,1,Explosives,Common,
235,Engineering,imgs/Engineering/id11590.png,id11590,Mechanical Repair Kit,trainer,200,Use: Restores 700 health to a friendly mechanical target ,1,Devices,Common,
236,Engineering,imgs/Engineering/id18588.png,id18588,EZ-Thro Dynamite II,recipe,200,"Use: Inflicts 213 to 287 Fire damage in a 5 yard radius (Assuming that it gets to the target, some restrictions may apply.) ",1,Explosives,Common,
237,Engineering,imgs/Engineering/id10644.png,id10644,Goblin Rocket Fuel Recipe,trainer,205,Use: Teaches you how to make Goblin Rocket Fuel. ,1,Alchemy,Common,
238,Engineering,imgs/Engineering/id10577.png,id10577,Goblin Mortar,trainer,205,Use: Inflicts 383 to 517 Fire damage and stuns the targets in a 5 yard radius for 3 seconds. ,1,Devices,Common,Trinket
239,Engineering,imgs/Engineering/id10542.png,id10542,Goblin Mining Helmet,trainer,205,Passive: Mining +5. ,1,Mail,Uncommon,Head
240,Engineering,imgs/Engineering/id10543.png,id10543,Goblin Construction Helmet,trainer,205,Use: Absorbs 300 to 500 Fire damage.  Lasts 60 seconds. ,1,Cloth,Uncommon,Head
241,Engineering,imgs/Engineering/id10646.png,id10646,Goblin Sapper Charge,trainer,205,Use: Explodes when triggered dealing 450 to 750 Fire damage to all enemies nearby and 375 to 625 damage to you. ,1,Explosives,Common,
242,Engineering,imgs/Engineering/id11826.png,id11826,Lil' Smoky,recipe,205,Use: Right Click to summon and dismiss your robot. ,1,Devices,Common,
243,Engineering,imgs/Engineering/id11825.png,id11825,Pet Bombling,recipe,205,Use: Right Click to summon and dismiss your bomb. ,1,Devices,Common,
244,Engineering,imgs/Engineering/id10546.png,id10546,Deadly Scope,recipe,210,Use: Attaches a permanent scope to a bow or gun that increases its damage by 5. ,1,Devices,Common,
245,Engineering,imgs/Engineering/id10720.png,id10720,Gnomish Net-o-Matic Projector,trainer,210,Use: Captures the target in a net for 10 seconds.  The net has a lot of hooks however and sometimes gets caught in the user's clothing when fired...... ,1,Devices,Common,Trinket
246,Engineering,imgs/Engineering/id10514.png,id10514,Mithril Frag Bomb,trainer,215,Use: Inflicts 149 to 201 Fire damage and incapacitates targets in a 8 yard radius for 2 seconds. ,3,Explosives,Common,
247,Engineering,imgs/Engineering/id10721.png,id10721,Gnomish Harm Prevention Belt,trainer,215,Use: A shield of force protects you from the next 500 damage done over the next 10 minutes. WARNING:  Force Field may overload when struck temporarily removing the wearer from this dimension. ,1,Leather,Uncommon,Waist
248,Engineering,imgs/Engineering/id10501.png,id10501,Catseye Ultra Goggles,recipe,220,Passive: Increases your stealth detection. ,1,Cloth,Uncommon,Head
249,Engineering,imgs/Engineering/id10510.png,id10510,Mithril Heavy-bore Rifle,recipe,220,Passive: +14 ranged Attack Power. ,1,Gun,Uncommon,
250,Engineering,imgs/Engineering/id10502.png,id10502,Spellpower Goggles Xtreme,recipe,225,Passive: Increases damage and healing done by magical spells and effects by up to 21. ,1,Cloth,Uncommon,Head
251,Engineering,imgs/Engineering/id10518.png,id10518,Parachute Cloak,recipe,225,Use: Reduces your fall speed for 10 seconds. ,1,Cloth,Uncommon,Back
252,Engineering,imgs/Engineering/id10724.png,id10724,Gnomish Rocket Boots,trainer,225,Use: These boots significantly increase your run speed for 20 seconds.  WARNING:  Their power supply and gyros do not always function as intended. ,1,Cloth,Uncommon,Feet
253,Engineering,app/static/imgs/Alchemy/id21546.png,id21571,Blue Rocket Cluster,recipe,225,Use: Throw into a cluster launcher! ,3,None,Common,
254,Engineering,imgs/Engineering/id21574.png,id21574,Green Rocket Cluster,recipe,225,Use: Throw into a cluster launcher! ,3,None,Common,
255,Engineering,app/static/imgs/Alchemy/id21546.png,id21576,Red Rocket Cluster,recipe,225,Use: Throw into a cluster launcher! ,3,None,Common,
256,Engineering,imgs/Engineering/id21569.png,id21569,Firework Launcher,recipe,225,Use: Place on the ground to launch firework rockets.  Lasts 30 minutes. ,1,None,Common,
257,Engineering,imgs/Engineering/id10506.png,id10506,Deepdive Helmet,recipe,230,Passive: Allows underwater breathing. ,1,Cloth,Uncommon,Head
258,Engineering,imgs/Engineering/id10587.png,id10587,Goblin Bomb Dispenser,trainer,230,Use: Creates a mobile bomb that charges the nearest enemy and explodes for 315 to 385 fire damage. ,1,Devices,Common,Trinket
259,Engineering,imgs/Engineering/id10725.png,id10725,Gnomish Battle Chicken,trainer,230,Use: Creates a Battle Chicken that will fight for you for 1 minutes 30 seconds or until it is destroyed. ,1,Devices,Common,Trinket
260,Engineering,imgs/Engineering/id10562.png,id10562,Hi-Explosive Bomb,trainer,235,Use: Inflicts 255 to 345 Fire damage and incapacitates targets in a 3 yard radius for 3 seconds. ,4,Explosives,Common,
261,Engineering,imgs/Engineering/id10586.png,id10586,The Big One,trainer,235,Use: Inflicts 340 to 460 Fire damage and incapacitates targets for 5 seconds in a 10 yard radius. ,2,Explosives,Common,
262,Engineering,imgs/Engineering/id10726.png,id10726,Gnomish Mind Control Cap,trainer,235,"Use: Engage in mental combat with a humanoid target to try and control their mind.  If all works well, you will control the mind of the target for 20 seconds ..... ",1,Cloth,Uncommon,Head
263,Engineering,imgs/Engineering/id10548.png,id10548,Sniper Scope,recipe,240,Use: Attaches a permanent scope to a bow or gun that increases its damage by 7. ,1,Devices,Common,
264,Engineering,imgs/Engineering/id10645.png,id10645,Gnomish Death Ray,trainer,240,Use: Gnomish Death Ray ,1,Devices,Common,Trinket
265,Engineering,imgs/Engineering/id10727.png,id10727,Goblin Dragon Gun,trainer,240,Use: Deals 61 to 69 fire damage for 10 seconds to all targets in a cone in front of the engineer using the weapon.   That is unless it explodes..... ,1,Devices,Common,Trinket
266,Engineering,imgs/Engineering/id10588.png,id10588,Goblin Rocket Helmet,trainer,245,"Use: Charge an enemy, knocking it silly for 30 seconds. Also knocks you down, stunning you for a short period of time. Any damage caused will revive the target. ",1,Cloth,Uncommon,Head
267,Engineering,imgs/Engineering/id10576.png,id10576,Mithril Mechanical Dragonling,recipe,250,Use: Activates your Mithril Mechanical Dragonling to fight for you for 60 seconds.  It requires an hour to cool down before it can be used again. ,1,Devices,Common,Trinket
268,Engineering,imgs/Engineering/id15846.png,id15846,Salt Shaker,trainer,250,Use: Allows an experienced leatherworker to turn Deeprock Salt into Refined Deeprock Salt.  Use of the device exposes the user to sub-core micro radiation and should not be used more than once every few days. ,1,Devices,Common,
269,Engineering,imgs/Engineering/id18641.png,id18641,Dense Dynamite,trainer,250,Use: Inflicts 340 to 460 Fire damage in a 5 yard radius. ,2,Explosives,Common,
270,Engineering,imgs/Engineering/id19026.png,id19026,Snake Burst Firework,recipe,250,Use: Shoots a firework into the air that bursts in a yellow pattern. ,4,None,Common,
271,Engineering,imgs/Engineering/id15993.png,id15993,Thorium Grenade,recipe,260,Use: Inflicts 300 to 500 Fire damage and incapacitates targets for 3 seconds in a 3 yard radius. ,3,Explosives,Common,
272,Engineering,imgs/Engineering/id15995.png,id15995,Thorium Rifle,recipe,260,Passive: +17 ranged Attack Power. ,1,Gun,Uncommon,
273,Engineering,imgs/Engineering/id18634.png,id18634,Gyrofreeze Ice Deflector,recipe,260,Use: Reflects Frost spells back at their caster for 5 seconds. ,1,Devices,Rare,Trinket
274,Engineering,imgs/Engineering/id15996.png,id15996,Lifelike Mechanical Toad,recipe,265,Use: Right Click to summon and dismiss your lifelike mechanical toad. ,1,Devices,Common,
275,Engineering,imgs/Engineering/id15999.png,id15999,Spellpower Goggles Xtreme Plus,recipe,270,Passive: Increases damage and healing done by magical spells and effects by up to 27. ,1,Cloth,Uncommon,Head
276,Engineering,imgs/Engineering/id16023.png,id16023,Masterwork Target Dummy,recipe,275,Use: Drops a target dummy on the ground that attracts nearby monsters to attack it. Lasts for 15 seconds or until killed. ,1,Devices,Common,
277,Engineering,imgs/Engineering/id18637.png,id18637,Major Recombobulator,recipe,275,Use: Dispels Polymorph effects on a friendly target.  Also restores 375 to 625 health and mana. ,1,Devices,Uncommon,Trinket
278,Engineering,imgs/Engineering/id18594.png,id18594,Powerful Seaforium Charge,recipe,275,Use: Blasts open nearly any locked door. ,1,Explosives,Common,
279,Engineering,app/static/imgs/Alchemy/id21546.png,id21714,Large Blue Rocket Cluster,recipe,275,Use: Throw into a cluster launcher! ,3,None,Common,
280,Engineering,app/static/imgs/Alchemy/id21546.png,id21716,Large Green Rocket Cluster,recipe,275,Use: Throw into a cluster launcher! ,3,None,Common,
281,Engineering,imgs/Engineering/id21718.png,id21718,Large Red Rocket Cluster,recipe,275,Use: Throw into a cluster launcher! ,3,None,Common,
282,Engineering,app/static/imgs/Alchemy/id21546.png,id21570,Cluster Launcher,recipe,275,Use: Place on the ground to launch cluster rockets.  Lasts 30 minutes. ,1,None,Common,
283,Engineering,imgs/Engineering/id16005.png,id16005,Dark Iron Bomb,recipe,285,Use: Inflicts 225 to 675 Fire damage and incapacitates targets in a 5 yard radius for 4 seconds. ,3,Explosives,Common,
284,Engineering,imgs/Engineering/id16009.png,id16009,Voice Amplification Modulator,recipe,290,Passive: Increases your resistance to silence effects by 7%. ,1,Miscellaneous,Uncommon,Neck
285,Engineering,imgs/Engineering/id18638.png,id18638,Hyper-Radiant Flame Reflector,recipe,290,Use: Reflects Fire spells back at their caster for 5 seconds. ,1,Devices,Rare,Trinket
286,Engineering,imgs/Engineering/id16040.png,id16040,Arcane Bomb,recipe,300,Use: Drains 675 to 1125 mana from those in the blast radius and does 50% of the mana drained in damage to the target.  Also Silences targets in the blast for 5 seconds. ,3,Explosives,Common,
287,Engineering,imgs/Engineering/id16022.png,id16022,Arcanite Dragonling,recipe,300,Use: Activates your Arcanite Dragonling to fight for you for 60 seconds.  It requires an hour to cool down before it can be used again. ,1,Devices,Rare,Trinket
288,Engineering,imgs/Engineering/id16007.png,id16007,Flawless Arcanite Rifle,recipe,300,Passive: Increased Guns +4. ,1,Gun,Rare,
289,Engineering,imgs/Engineering/id18283.png,id18283,Biznicks 247x128 Accurascope,recipe,300,Use: Attaches a permanent scope to a bow or gun that increases its chance to hit by 3%. ,1,Devices,Rare,
290,Engineering,imgs/Engineering/id18282.png,id18282,Core Marksman Rifle,recipe,300,Passive: +22 ranged Attack Power. ,1,Gun,Epic,
291,Engineering,imgs/Engineering/id18168.png,id18168,Force Reactive Disk,recipe,300,Passive: When the shield blocks it releases an electrical charge that damages all nearby enemies.   This also has a chance of damaging the shield. ,1,Shield,Epic,
292,Engineering,imgs/Engineering/id18639.png,id18639,Ultra-Flash Shadow Reflector,recipe,300,Use: Reflects Shadow spells back at their caster for 5 seconds. ,1,Devices,Rare,Trinket
293,Engineering,imgs/Engineering/id19999.png,id19999,Bloodvine Goggles,recipe,300,Passive: Improves your chance to hit with spells by 2%. ,1,Cloth,Rare,Head
294,Engineering,imgs/Engineering/id19998.png,id19998,Bloodvine Lens,recipe,300,Passive: Improves your chance to get a critical strike by 2%. ,1,Leather,Rare,Head
295,Engineering,imgs/Engineering/id10713.png,id10713,Inlaid Mithril Cylinder Plans,trainer,0,Use: Teaches you how to make an Inlaid Mithril Cylinder.  This item is used by Gnomish Engineers. ,1,Blacksmithing,Common,
296,Engineering,imgs/Engineering/id18232.png,id18232,Field Repair Bot 74A,trainer,0,Use: Unfolds into a Field Repair Bot that can repair damaged items and purchase unwanted goods.  After 10 minutes its internal motor fails. ,1,Devices,Common,
297,Engineering,imgs/Engineering/id18986.png,id18986,Ultrasafe Transporter - Gadgetzan,trainer,0,"Use: Safely transport yourself to Gadgetzan in Tanaris!    Emphasis on Safe!   Yup, nothing bad could ever happen while using this device! ",1,Miscellaneous,Uncommon,Trinket
298,Engineering,imgs/Engineering/id18984.png,id18984,Dimensional Ripper - Everlook,trainer,0,"Use: Rips the dimensional walls asunder and transports you to Everlook in Winterspring.   There are technical problems that sometimes occur, but that's what Goblin Engineering is all about! ",1,Miscellaneous,Uncommon,Trinket
299,Engineering,imgs/Engineering/id21277.png,id21277,Tranquil Mechanical Yeti,trainer,0,Use: Right Click to summon and dismiss your Tranquil Mechanical Yeti. ,1,Devices,Common,
300,Engineering,imgs/Engineering/id10716.png,id10716,Gnomish Shrink Ray,trainer,205,Use: Shrinks the target reducing their attack power by 250.  Thats what it usually does anyway..... ,1,Devices,Common,Trinket
301,Engineering,imgs/Engineering/id18660.png,id18660,World Enlarger,recipe,260,Use: Enlarges the entire world for 5 minutes or until you attack. ,1,Devices,Uncommon,
302,Engineering,imgs/Engineering/id18645.png,id18645,Alarm-O-Bot,recipe,265,Use: Summons an Alarm-O-Bot for 10 minutes that occasionally sends out a pulse that detects nearby stealthy or invisible enemies. ,1,Devices,Common,
303,Engineering,imgs/Engineering/id18587.png,id18587,Goblin Jumper Cables XL,recipe,265,Use: Jumper Cables will sometimes be able to shock a dead player back to life.  Cannot be used when in combat. ,1,Devices,Common,Trinket
304,Leatherworking,imgs/Leatherworking/id2304.png,id2304,Light Armor Kit,trainer,1,"Use: Permanently increase the armor value of an item worn on the chest, legs, hands or feet by 8. ",1,None,Common,
305,Leatherworking,imgs/Leatherworking/id7278.png,id7278,Light Leather Quiver,trainer,30,Passive: Increases ranged attack speed by 10%. ,1,Quiver,Common,
306,Leatherworking,imgs/Leatherworking/id7279.png,id7279,Small Leather Ammo Pouch,trainer,30,Passive: Increases ranged attack speed by 10%. ,1,Ammo Pouch,Common,
307,Leatherworking,imgs/Leatherworking/id2313.png,id2313,Medium Armor Kit,trainer,100,"Use: Permanently increase the armor value of an item worn on the chest, legs, hands or feet by 16. ",1,None,Common,
308,Leatherworking,imgs/Leatherworking/id4248.png,id4248,Dark Leather Gloves,recipe,120,Passive: Increases your lockpicking skill slightly. ,1,Leather,Uncommon,Hands
309,Leatherworking,imgs/Leatherworking/id7284.png,id7284,Red Whelp Gloves,recipe,120,Passive: 5% chance of dealing 15 to 25 Fire damage on a successful melee attack. ,1,Leather,Uncommon,Hands
310,Leatherworking,imgs/Leatherworking/id7348.png,id7348,Fletcher's Gloves,trainer,125,Passive: Improves your chance to get a critical strike with missile weapons by 1%. ,1,Leather,Uncommon,Hands
